#t Ekin Epot Etot m1 x1 y1 z1 vx1 vy1 vz1 m2 x2 y2 z2 vx2 vy2 vz2 
0.00 3.17 -29.05 -25.88 5.00 -0.70 -1.92 1.32 0.05 -0.04 0.57 5.00 -1.33 -0.33 1.48 0.24 0.37 -0.86 
0.01 3.16 -29.02 -25.86 5.00 -0.70 -1.92 1.32 0.04 -0.03 0.58 5.00 -1.33 -0.32 1.48 0.24 0.36 -0.86 
0.02 3.15 -29.00 -25.85 5.00 -0.70 -1.92 1.33 0.04 -0.02 0.58 5.00 -1.32 -0.32 1.47 0.24 0.35 -0.86 
0.03 3.15 -28.97 -25.83 5.00 -0.70 -1.92 1.33 0.04 -0.02 0.58 5.00 -1.32 -0.32 1.46 0.25 0.34 -0.86 
0.04 3.14 -28.95 -25.81 5.00 -0.70 -1.92 1.34 0.04 -0.01 0.58 5.00 -1.32 -0.31 1.45 0.25 0.34 -0.86 
0.05 3.13 -28.92 -25.79 5.00 -0.70 -1.92 1.34 0.03 -0.00 0.58 5.00 -1.32 -0.31 1.44 0.25 0.33 -0.86 
0.06 3.13 -28.90 -25.77 5.00 -0.70 -1.92 1.35 0.03 0.01 0.58 5.00 -1.31 -0.31 1.43 0.25 0.32 -0.86 
0.07 3.12 -28.88 -25.76 5.00 -0.70 -1.92 1.36 0.03 0.02 0.58 5.00 -1.31 -0.30 1.42 0.26 0.31 -0.87 
0.08 3.12 -28.86 -25.74 5.00 -0.70 -1.92 1.36 0.02 0.02 0.58 5.00 -1.31 -0.30 1.42 0.26 0.31 -0.87 
0.09 3.11 -28.84 -25.73 5.00 -0.70 -1.92 1.37 0.02 0.03 0.58 5.00 -1.31 -0.30 1.41 0.26 0.30 -0.87 
0.10 3.11 -28.82 -25.71 5.00 -0.70 -1.92 1.37 0.02 0.04 0.58 5.00 -1.30 -0.29 1.40 0.27 0.29 -0.87 
0.11 3.10 -28.80 -25.70 5.00 -0.70 -1.92 1.38 0.01 0.05 0.58 5.00 -1.30 -0.29 1.39 0.27 0.28 -0.87 
0.12 3.10 -28.78 -25.68 5.00 -0.70 -1.92 1.38 0.01 0.05 0.58 5.00 -1.30 -0.29 1.38 0.27 0.27 -0.87 
0.13 3.09 -28.76 -25.67 5.00 -0.70 -1.92 1.39 0.01 0.06 0.58 5.00 -1.30 -0.29 1.37 0.27 0.27 -0.87 
0.14 3.09 -28.74 -25.66 5.00 -0.70 -1.92 1.40 0.01 0.07 0.58 5.00 -1.29 -0.28 1.36 0.28 0.26 -0.87 
0.15 3.08 -28.73 -25.64 5.00 -0.70 -1.92 1.40 0.00 0.08 0.58 5.00 -1.29 -0.28 1.35 0.28 0.25 -0.87 
0.16 3.08 -28.71 -25.63 5.00 -0.70 -1.92 1.41 0.00 0.09 0.58 5.00 -1.29 -0.28 1.35 0.28 0.24 -0.87 
0.17 3.08 -28.69 -25.62 5.00 -0.70 -1.92 1.41 -0.00 0.09 0.58 5.00 -1.28 -0.28 1.34 0.29 0.24 -0.87 
0.18 3.07 -28.68 -25.61 5.00 -0.70 -1.91 1.42 -0.01 0.10 0.58 5.00 -1.28 -0.27 1.33 0.29 0.23 -0.86 
0.19 3.07 -28.67 -25.60 5.00 -0.70 -1.91 1.43 -0.01 0.11 0.58 5.00 -1.28 -0.27 1.32 0.29 0.22 -0.86 
0.20 3.06 -28.65 -25.59 5.00 -0.70 -1.91 1.43 -0.01 0.12 0.58 5.00 -1.28 -0.27 1.31 0.29 0.21 -0.86 
0.21 3.06 -28.64 -25.58 5.00 -0.70 -1.91 1.44 -0.01 0.12 0.58 5.00 -1.27 -0.27 1.30 0.30 0.20 -0.86 
0.22 3.06 -28.63 -25.57 5.00 -0.70 -1.91 1.44 -0.02 0.13 0.58 5.00 -1.27 -0.27 1.29 0.30 0.20 -0.86 
0.23 3.05 -28.62 -25.56 5.00 -0.70 -1.91 1.45 -0.02 0.14 0.58 5.00 -1.27 -0.26 1.29 0.30 0.19 -0.86 
0.24 3.05 -28.60 -25.55 5.00 -0.70 -1.91 1.45 -0.02 0.15 0.58 5.00 -1.26 -0.26 1.28 0.30 0.18 -0.86 
0.25 3.05 -28.59 -25.54 5.00 -0.70 -1.91 1.46 -0.02 0.16 0.57 5.00 -1.26 -0.26 1.27 0.31 0.17 -0.86 
0.26 3.05 -28.58 -25.54 5.00 -0.70 -1.90 1.47 -0.03 0.16 0.57 5.00 -1.26 -0.26 1.26 0.31 0.17 -0.86 
