#t Ekin Epot Etot m1 x1 y1 z1 vx1 vy1 vz1 m2 x2 y2 z2 vx2 vy2 vz2 m3 x3 y3 z3 vx3 vy3 vz3 
0.00 6.76 -42.12 -35.36 2.00 1.66 0.81 0.72 0.77 0.84 0.00 2.00 0.31 1.61 -0.80 0.66 -0.67 -0.98 8.00 0.01 1.61 -1.89 -0.51 0.29 0.75 
0.01 6.79 -42.46 -35.67 2.00 1.67 0.81 0.72 0.77 0.84 -0.00 2.00 0.31 1.60 -0.81 0.66 -0.67 -0.99 8.00 0.00 1.62 -1.88 -0.51 0.29 0.75 
0.02 6.81 -42.80 -35.99 2.00 1.68 0.82 0.72 0.77 0.84 -0.01 2.00 0.32 1.59 -0.82 0.66 -0.67 -1.00 8.00 -0.00 1.62 -1.87 -0.50 0.29 0.76 
0.03 6.84 -43.15 -36.31 2.00 1.69 0.83 0.72 0.76 0.85 -0.01 2.00 0.33 1.59 -0.83 0.65 -0.67 -1.00 8.00 -0.01 1.62 -1.86 -0.50 0.29 0.76 
0.04 6.86 -43.50 -36.64 2.00 1.69 0.84 0.72 0.76 0.85 -0.02 2.00 0.33 1.58 -0.84 0.65 -0.67 -1.01 8.00 -0.01 1.62 -1.86 -0.50 0.29 0.76 
0.05 6.89 -43.85 -36.96 2.00 1.70 0.85 0.72 0.76 0.85 -0.02 2.00 0.34 1.57 -0.85 0.65 -0.67 -1.02 8.00 -0.02 1.63 -1.85 -0.50 0.29 0.76 
0.06 6.91 -44.20 -37.29 2.00 1.71 0.86 0.72 0.75 0.85 -0.03 2.00 0.35 1.57 -0.86 0.65 -0.67 -1.03 8.00 -0.02 1.63 -1.84 -0.50 0.29 0.77 
0.07 6.94 -44.56 -37.62 2.00 1.72 0.86 0.72 0.75 0.85 -0.03 2.00 0.35 1.56 -0.87 0.65 -0.67 -1.04 8.00 -0.03 1.63 -1.83 -0.50 0.29 0.77 
0.08 6.96 -44.91 -37.95 2.00 1.72 0.87 0.72 0.75 0.85 -0.04 2.00 0.36 1.55 -0.88 0.64 -0.67 -1.04 8.00 -0.03 1.64 -1.83 -0.50 0.29 0.77 
0.09 6.98 -45.26 -38.27 2.00 1.73 0.88 0.72 0.74 0.86 -0.04 2.00 0.37 1.55 -0.89 0.64 -0.67 -1.05 8.00 -0.04 1.64 -1.82 -0.49 0.29 0.78 
0.10 7.01 -45.61 -38.60 2.00 1.74 0.89 0.71 0.74 0.86 -0.05 2.00 0.37 1.54 -0.90 0.64 -0.67 -1.06 8.00 -0.04 1.64 -1.81 -0.49 0.29 0.78 
0.11 7.03 -45.95 -38.93 2.00 1.75 0.90 0.71 0.74 0.86 -0.05 2.00 0.38 1.53 -0.91 0.63 -0.67 -1.07 8.00 -0.05 1.65 -1.80 -0.49 0.29 0.78 
0.12 7.05 -46.30 -39.25 2.00 1.75 0.91 0.71 0.73 0.86 -0.05 2.00 0.38 1.53 -0.93 0.63 -0.67 -1.07 8.00 -0.05 1.65 -1.79 -0.49 0.29 0.79 
0.13 7.07 -46.63 -39.57 2.00 1.76 0.92 0.71 0.73 0.86 -0.06 2.00 0.39 1.52 -0.94 0.63 -0.67 -1.08 8.00 -0.06 1.65 -1.79 -0.49 0.29 0.79 
0.14 7.09 -46.97 -39.88 2.00 1.77 0.93 0.71 0.73 0.86 -0.06 2.00 0.40 1.51 -0.95 0.62 -0.67 -1.09 8.00 -0.06 1.65 -1.78 -0.49 0.29 0.79 
0.15 7.11 -47.29 -40.19 2.00 1.77 0.93 0.71 0.72 0.87 -0.07 2.00 0.40 1.51 -0.96 0.62 -0.67 -1.10 8.00 -0.07 1.66 -1.77 -0.48 0.29 0.80 
0.16 7.12 -47.61 -40.48 2.00 1.78 0.94 0.71 0.72 0.87 -0.07 2.00 0.41 1.50 -0.97 0.62 -0.66 -1.10 8.00 -0.07 1.66 -1.76 -0.48 0.29 0.80 
0.17 7.14 -47.92 -40.78 2.00 1.79 0.95 0.71 0.72 0.87 -0.08 2.00 0.42 1.49 -0.98 0.61 -0.66 -1.11 8.00 -0.08 1.66 -1.75 -0.48 0.29 0.80 
0.18 7.15 -48.21 -41.06 2.00 1.80 0.96 0.71 0.71 0.87 -0.08 2.00 0.42 1.49 -0.99 0.61 -0.66 -1.12 8.00 -0.08 1.67 -1.75 -0.48 0.29 0.80 
0.19 7.17 -48.50 -41.33 2.00 1.80 0.97 0.71 0.71 0.87 -0.09 2.00 0.43 1.48 -1.00 0.61 -0.66 -1.12 8.00 -0.09 1.67 -1.74 -0.48 0.29 0.81 
0.20 7.18 -48.77 -41.59 2.00 1.81 0.98 0.71 0.70 0.87 -0.09 2.00 0.43 1.47 -1.01 0.60 -0.66 -1.13 8.00 -0.09 1.67 -1.73 -0.48 0.28 0.81 
0.21 7.20 -49.03 -41.84 2.00 1.82 0.99 0.71 0.70 0.87 -0.10 2.00 0.44 1.47 -1.03 0.60 -0.66 -1.14 8.00 -0.10 1.67 -1.72 -0.47 0.28 0.81 
