#t Ekin Epot Etot m1 x1 y1 z1 vx1 vy1 vz1 m2 x2 y2 z2 vx2 vy2 vz2 m3 x3 y3 z3 vx3 vy3 vz3 
0.00 8.70 -275.75 -267.05 6.00 0.67 0.71 0.21 -0.44 0.89 -0.27 6.00 1.38 1.31 -0.44 -0.16 -0.95 -0.75 8.00 1.20 1.76 -0.85 0.45 0.04 -0.22 
0.01 8.75 -275.74 -266.99 6.00 0.66 0.72 0.21 -0.43 0.91 -0.29 6.00 1.38 1.30 -0.45 -0.17 -0.95 -0.76 8.00 1.21 1.76 -0.85 0.45 0.02 -0.21 
0.02 8.79 -275.74 -266.94 6.00 0.66 0.73 0.20 -0.42 0.92 -0.30 6.00 1.38 1.29 -0.46 -0.18 -0.95 -0.76 8.00 1.21 1.76 -0.85 0.44 0.01 -0.20 
0.03 8.84 -275.74 -266.90 6.00 0.66 0.74 0.20 -0.40 0.94 -0.32 6.00 1.37 1.28 -0.46 -0.18 -0.94 -0.76 8.00 1.22 1.76 -0.85 0.44 -0.00 -0.18 
0.04 8.89 -275.76 -266.87 6.00 0.65 0.75 0.20 -0.39 0.95 -0.33 6.00 1.37 1.27 -0.47 -0.19 -0.94 -0.76 8.00 1.22 1.76 -0.86 0.44 -0.02 -0.17 
0.05 8.95 -275.79 -266.84 6.00 0.65 0.76 0.19 -0.38 0.97 -0.35 6.00 1.37 1.26 -0.48 -0.20 -0.93 -0.76 8.00 1.23 1.76 -0.86 0.44 -0.03 -0.16 
0.06 9.01 -275.84 -266.83 6.00 0.64 0.77 0.19 -0.37 0.98 -0.36 6.00 1.37 1.25 -0.49 -0.20 -0.93 -0.76 8.00 1.23 1.76 -0.86 0.43 -0.04 -0.15 
0.07 9.07 -275.90 -266.83 6.00 0.64 0.78 0.19 -0.36 0.99 -0.38 6.00 1.37 1.24 -0.49 -0.21 -0.92 -0.77 8.00 1.23 1.76 -0.86 0.43 -0.06 -0.13 
0.08 9.13 -275.97 -266.83 6.00 0.64 0.79 0.18 -0.35 1.01 -0.40 6.00 1.36 1.23 -0.50 -0.22 -0.92 -0.77 8.00 1.24 1.76 -0.86 0.43 -0.07 -0.12 
0.09 9.20 -276.05 -266.85 6.00 0.63 0.80 0.18 -0.34 1.02 -0.41 6.00 1.36 1.23 -0.51 -0.23 -0.92 -0.77 8.00 1.24 1.76 -0.86 0.42 -0.09 -0.11 
0.10 9.27 -276.16 -266.88 6.00 0.63 0.81 0.17 -0.33 1.03 -0.43 6.00 1.36 1.22 -0.52 -0.23 -0.91 -0.77 8.00 1.25 1.76 -0.86 0.42 -0.10 -0.09 
0.11 9.35 -276.28 -266.93 6.00 0.63 0.82 0.17 -0.32 1.05 -0.44 6.00 1.36 1.21 -0.53 -0.24 -0.90 -0.77 8.00 1.25 1.76 -0.86 0.42 -0.11 -0.08 
0.12 9.43 -276.42 -266.99 6.00 0.62 0.83 0.16 -0.30 1.06 -0.46 6.00 1.35 1.20 -0.53 -0.25 -0.90 -0.77 8.00 1.26 1.76 -0.87 0.41 -0.13 -0.07 
0.13 9.51 -276.57 -267.06 6.00 0.62 0.84 0.16 -0.29 1.07 -0.48 6.00 1.35 1.19 -0.54 -0.25 -0.89 -0.77 8.00 1.26 1.75 -0.87 0.41 -0.14 -0.06 
0.14 9.60 -276.75 -267.15 6.00 0.62 0.85 0.15 -0.28 1.09 -0.49 6.00 1.35 1.18 -0.55 -0.26 -0.89 -0.77 8.00 1.26 1.75 -0.87 0.40 -0.16 -0.04 
0.15 9.69 -276.95 -267.26 6.00 0.62 0.86 0.15 -0.27 1.10 -0.51 6.00 1.35 1.17 -0.56 -0.27 -0.88 -0.77 8.00 1.27 1.75 -0.87 0.40 -0.17 -0.03 
0.16 9.78 -277.16 -267.38 6.00 0.61 0.87 0.14 -0.25 1.11 -0.53 6.00 1.34 1.16 -0.56 -0.27 -0.87 -0.77 8.00 1.27 1.75 -0.87 0.39 -0.18 -0.02 
0.17 9.88 -277.40 -267.52 6.00 0.61 0.88 0.14 -0.24 1.12 -0.54 6.00 1.34 1.15 -0.57 -0.28 -0.87 -0.77 8.00 1.28 1.75 -0.87 0.39 -0.20 -0.01 
0.18 9.98 -277.67 -267.69 6.00 0.61 0.90 0.13 -0.23 1.14 -0.56 6.00 1.34 1.15 -0.58 -0.28 -0.86 -0.77 8.00 1.28 1.74 -0.87 0.38 -0.21 0.01 
0.19 10.09 -277.96 -267.87 6.00 0.61 0.91 0.13 -0.21 1.15 -0.58 6.00 1.34 1.14 -0.59 -0.29 -0.85 -0.77 8.00 1.28 1.74 -0.87 0.38 -0.23 0.02 
0.20 10.20 -278.27 -268.07 6.00 0.60 0.92 0.12 -0.20 1.16 -0.60 6.00 1.33 1.13 -0.59 -0.30 -0.85 -0.77 8.00 1.29 1.74 -0.87 0.37 -0.24 0.03 
0.21 10.32 -278.61 -268.29 6.00 0.60 0.93 0.12 -0.18 1.17 -0.61 6.00 1.33 1.12 -0.60 -0.30 -0.84 -0.76 8.00 1.29 1.74 -0.87 0.37 -0.26 0.04 
0.22 10.44 -278.98 -268.54 6.00 0.60 0.94 0.11 -0.17 1.19 -0.63 6.00 1.33 1.11 -0.61 -0.31 -0.83 -0.76 8.00 1.29 1.73 -0.87 0.36 -0.27 0.06 
0.23 10.57 -279.38 -268.81 6.00 0.60 0.95 0.10 -0.16 1.20 -0.65 6.00 1.32 1.10 -0.62 -0.31 -0.82 -0.76 8.00 1.30 1.73 -0.86 0.35 -0.29 0.07 
0.24 10.70 -279.81 -269.11 6.00 0.60 0.97 0.10 -0.14 1.21 -0.67 6.00 1.32 1.10 -0.63 -0.32 -0.81 -0.76 8.00 1.30 1.73 -0.86 0.35 -0.30 0.08 
0.25 10.77 -280.24 -269.47 6.00 0.60 0.98 0.09 -0.13 1.22 -0.68 6.00 1.32 1.09 -0.63 -0.33 -0.81 -0.76 8.00 1.31 1.73 -0.86 0.34 -0.31 0.09 
